Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…
"Ge, Huanyao",Lab for CHEM 2313,17,30869,0.3,0.2,0.4,0.0,0.4,0.5,0.4,-0.3,-0.4,0.0,0.4,0.4,0.3,0.8,0.6,0.3,0.1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annable, Liana",Lab for CHEM 2313,19,30870,-0.9,-4.1,-3.9,0.4,-1.0,-0.9,0.7,-0.3,-1.4,-0.8,-0.6,0.5,0.7,0.9,0.6,0.2,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ge, Huanyao",Lab for CHEM 2313,20,30895,0.3,0.1,0.5,0.3,0.2,0.2,0.4,0.0,-0.7,-1.0,0.2,0.3,0.4,0.6,0.4,0.4,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annable, Liana",Lab for CHEM 2313,23,31157,-0.2,0.2,0.4,-0.2,-0.5,-0.8,-0.1,-0.7,-0.6,-0.5,0.0,0.1,-0.1,-0.3,0.0,-0.3,0.1,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Wensheng",Lab for CHEM 2313,46,31334,0.4,-0.1,0.1,0.2,0.3,0.4,0.5,0.4,-0.2,0.5,0.2,0.3,0.5,0.7,0.4,0.5,0.3,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xue, Chenyang",Lab for CHEM 2313,47,31335,-0.7,-1.0,-1.0,-0.3,0.1,0.2,0.0,-0.4,-0.6,-0.5,-0.9,-0.4,-0.8,-0.4,0.1,-1.0,-0.5,-1.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smith, Sam Jackson",Lab for CHEM 2313,52,37792,0.6,0.4,1.1,0.4,0.3,0.3,0.5,0.0,-0.2,0.0,0.4,0.3,0.7,0.9,0.1,0.7,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agne, Melanie",Lab for CHEM 2313,54,37794,-0.7,0.2,0.1,-0.3,-0.2,-0.1,0.4,0.4,-0.4,0.0,0.1,0.2,0.4,0.6,0.3,0.0,-0.2,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Wensheng",Lab for CHEM 2313,55,37795,0.6,-0.1,0.1,0.4,0.5,0.6,0.7,0.5,0.4,0.5,0.4,0.5,0.7,0.7,0.6,0.0,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oyelaran, Oyindasola",Org Chm 1: Chem Majors,01,33173,0.6,-4.1,-3.9,0.4,0.5,0.6,0.7,0.5,0.6,0.7,0.4,0.5,0.7,0.9,0.6,0.7,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agne, Melanie",Lab for CHEM 2315,01,33174,0.1,-1.1,0.1,0.2,0.3,0.0,0.5,0.1,0.0,0.5,-0.2,-0.1,-0.3,0.3,-0.4,-0.3,0.3,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pennington, Jess",Lab for CHEM 2315,02,33663,-0.6,-0.3,-0.1,-0.4,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.2,0.2,0.6,0.3,0.4,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mabrouk, Patricia",Analytical Chemistry,01,33175,-0.1,-0.4,-0.4,-0.1,0.0,-0.5,-0.3,-0.4,-0.4,-0.3,0.0,-0.3,-0.3,0.0,-0.5,0.1,-0.7,0.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berger, Phillip",Lab for CHEM 2321,01,33176,-0.2,-0.6,-0.7,-0.1,0.1,0.2,0.3,-0.3,-0.7,-0.2,-0.2,-0.1,-0.4,0.2,-0.4,-1.0,-0.4,-0.9,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Brito Dorneles, Emilly Cristine",Lab for CHEM 2321,02,33434,-1.1,-0.4,-0.3,-0.4,-0.8,-0.6,-1.0,-1.1,-1.2,-1.3,-0.6,-0.8,-0.8,-1.3,-1.4,0.0,-0.7,-0.5,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mabrouk, Patricia",Recitation for CHEM 2321,01,33664,-0.4,-0.7,-0.6,-0.4,-0.2,-0.4,-0.9,-1.1,-1.2,-0.9,0.0,-1.1,-0.5,-0.2,-0.6,0.0,-1.0,0.0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oyelaran, Oyindasola",Recitation for CHEM 2315,01,33381,-4.4,-4.1,-3.9,-4.6,-4.5,-4.4,-4.3,-4.3,-4.4,-4.3,-4.6,-4.5,-4.3,-4.1,-4.4,-4.3,-4.5,-4.5,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braide-Moncoeur, Otonye",Bioanalytical Chemistry,01,34743,0.1,0.7,0.8,0.3,0.2,0.3,0.6,0.5,0.3,0.5,0.3,0.4,0.7,0.7,0.5,0.7,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sivasankar, Durgalakshmi",Lab for CHEM 3331,01,34744,0.3,0.7,0.9,0.2,0.1,0.2,0.6,0.3,0.2,0.6,0.4,0.5,0.7,0.8,0.5,0.6,0.4,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sivasankar, Durgalakshmi",Lab for CHEM 3331,02,34745,0.5,0.2,0.4,0.2,0.1,0.3,0.6,0.6,0.6,0.6,0.4,0.5,0.6,0.5,0.5,0.7,0.5,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budil, David",Chem Thermodynamics  Kinetics,01,33177,-0.1,0.0,0.2,0.1,0.1,0.4,0.0,0.4,0.4,0.3,0.0,-0.1,-0.3,0.4,0.2,0.5,0.3,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salguero, Christian",Lab for CHEM 3401,01,33178,-0.4,-0.1,0.1,0.4,-1.5,0.1,0.2,-0.3,0.1,0.7,0.4,0.5,0.7,0.9,0.6,0.2,0.5,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salguero, Christian",Lab for CHEM 3401,02,41011,0.6,-4.1,-3.9,0.4,0.5,0.6,0.7,0.7,0.6,0.7,0.4,0.5,0.7,0.9,0.6,0.7,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dong, Sijia",Quantum Chem and Spectroscopy,02,30989,0.0,-0.4,-0.7,-0.7,-0.1,-0.2,-0.6,-0.1,0.3,0.2,-0.2,-0.6,-0.8,0.3,0.1,0.3,0.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mochi, Bruno",Lab for CHEM 3403,04,31798,-0.4,-0.4,-0.2,-0.6,0.5,0.6,0.5,0.5,0.4,0.5,-0.1,0.3,0.2,0.4,0.1,0.2,0.3,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murga, Leonel",Physical Chemistry,02,31733,-0.1,-0.3,-0.3,-0.2,0.0,-0.4,-0.5,-1.0,0.4,-0.1,0.0,-0.2,-0.2,-0.3,-0.4,0.1,0.1,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adao Gomes, Leticia",Lab for CHEM 3431,02,32335,0.5,0.5,0.5,0.3,0.4,0.5,0.6,0.4,0.2,0.3,0.2,0.3,0.6,0.8,0.5,0.5,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mochi, Bruno",Lab for CHEM 3431,03,31734,0.0,0.6,0.8,0.1,0.4,0.5,0.3,-0.2,0.0,-0.2,0.3,0.4,0.4,-0.1,0.0,0.3,0.2,-0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon, William",Lab for CHEM 3431,04,31735,0.3,0.9,1.1,0.0,0.4,0.0,0.1,0.0,-0.1,0.1,0.4,0.5,0.7,0.9,0.6,0.7,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adao Gomes, Leticia",Lab for CHEM 3431,05,35390,0.6,0.9,1.1,0.4,0.5,0.6,0.6,0.6,0.5,0.6,0.4,0.5,0.7,0.9,0.6,0.7,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peltier, Jesse",Inorganic Chemistry,01,39242,-0.5,-1.1,-0.9,0.1,-0.7,-0.6,-1.3,-0.5,0.0,0.0,-0.6,-1.1,-1.6,-1.6,-1.6,-0.7,-0.9,0.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guido, Elliott",Lab for CHEM 3501,01,39243,-0.4,0.3,0.5,-0.1,-0.1,-0.5,0.1,0.0,-0.1,0.0,-0.2,-0.2,-0.1,0.2,0.0,-0.1,0.1,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labrie, Gregory",Lab for CHEM 3501,01,39243,-0.4,0.3,0.5,-0.1,-0.1,-0.5,0.1,0.0,-0.1,0.0,0.0,0.0,0.3,0.4,0.2,0.1,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peltier, Jesse",Recitation for CHEM 3501,01,39244,-0.4,-0.3,-0.4,-0.2,-0.5,-0.3,-1.9,-0.3,-0.1,0.0,-1.3,-1.9,-1.3,-1.4,-1.3,-0.6,-1.1,-0.4,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathews, Jude",Organic Chemistry 3,02,31736,0.4,0.9,1.1,0.4,0.2,0.5,0.6,0.3,-0.1,0.4,0.4,0.2,0.6,0.9,0.6,0.7,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danahy, Kelley",Intro to Spectr of Org Compnds,01,31745,0.1,0.2,0.1,0.2,0.3,0.0,0.1,-0.1,-0.1,0.2,0.3,0.3,0.5,0.6,0.5,0.5,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danahy, Kelley",ID of Org Compounds,01,30490,0.3,0.7,0.9,0.2,0.4,0.5,0.4,0.4,0.3,0.6,-0.2,-0.1,0.1,0.6,0.3,0.3,0.2,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrins, Lori",Chemical Safety,01,33179,0.4,0.6,0.8,0.2,0.1,-0.1,0.3,0.2,-0.5,0.1,0.2,0.2,0.4,0.6,0.0,0.3,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agar, Jeffrey",Analytical Separations,01,32780,-0.6,0.0,0.1,0.1,-0.7,-0.3,0.0,-0.4,0.1,0.1,-0.5,-0.8,-0.1,-0.1,0.1,0.1,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhou, Zhaohui",Protein Chemistry,02,32330,-0.2,0.1,0.3,0.1,0.0,-0.2,-0.3,0.1,-0.1,-0.2,0.2,-0.1,-0.1,0.0,0.2,0.3,0.4,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monteiro Araujo dos Santos, Thiago",Protein Chemistry,06,39246,0.2,0.4,0.5,0.0,0.2,0.2,0.4,0.1,0.1,0.3,0.3,0.3,0.5,0.7,0.4,0.5,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joshi, Neel",Prin of Chem Biol,01,30577,0.0,0.1,0.0,0.1,-0.1,-0.1,-0.4,0.0,0.2,-0.1,-0.2,0.0,0.2,0.3,0.1,0.1,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahn, Jiyoun",Lab for CHEM 5621,02,31591,0.4,0.7,0.9,0.2,0.0,-0.1,0.0,0.2,0.1,0.0,-0.1,0.3,0.4,0.6,0.4,0.2,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dilworth, Ryan",Lab for CHEM 5621,02,31591,0.4,0.7,0.9,0.2,0.0,-0.1,0.0,0.2,0.1,0.0,-0.3,-0.8,-0.5,-0.1,-0.4,0.2,-0.2,0.3,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ondrechen, Mary Jo",Molecular Modeling,01,30558,0.2,0.2,0.3,-0.1,0.1,-0.1,0.2,0.3,0.2,0.5,0.3,0.1,0.3,0.5,-0.1,0.2,0.3,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sayre, Hannah",Photochem Fundamentals  Apps,01,41070,-0.1,0.5,0.7,0.2,0.1,0.2,0.5,0.3,0.2,0.3,0.3,0.3,0.4,0.0,0.3,0.3,0.4,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Iain",Chem Principles and App DMPK,01,33665,0.3,0.3,0.0,0.2,0.2,0.1,0.3,0.1,0.1,0.3,0.3,0.2,0.4,-0.4,0.1,0.0,0.1,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smotkin, Eugene",Materials Chem Renewble Energy,01,36346,-0.4,-0.3,-0.2,-0.2,0.1,-0.3,-0.3,-0.6,-0.1,-0.2,-0.3,-0.5,0.0,-0.8,-0.5,0.1,0.1,0.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chung, Ken",Molecular Sym  Group Theory,01,34750,0.0,0.3,0.3,-0.4,-0.6,-0.4,0.2,-0.2,0.0,0.1,-0.1,0.0,0.2,-0.1,0.1,-0.3,-0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stubbins, Aron",Global Biogeochemistry,01,39247,0.5,0.3,0.3,0.3,0.3,0.2,0.1,-0.2,-0.1,0.1,0.2,0.1,0.3,0.3,0.1,0.1,0.4,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrins, Lori",Organic Synthesis 2,01,30991,0.0,0.1,0.1,0.0,-0.2,-0.2,0.3,-0.2,0.3,0.1,0.1,0.2,0.3,0.5,0.0,0.4,0.2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Booth, Raymond",Bioorganic Chemistry,01,34752,0.1,0.3,0.3,0.1,0.1,-0.2,0.0,0.0,-0.2,0.1,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budil, David",Principl Nuclear Magne Reson,01,39248,-1.1,-0.3,-0.1,-0.8,-1.2,-1.6,-1.3,-1.1,-0.1,-1.0,-1.1,-1.3,-1.3,-1.1,-0.2,0.0,-0.2,0.2,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallaway, Joshua",Conservation Principles,01,31336,0.1,0.0,0.0,0.2,0.3,0.1,0.1,0.2,0.0,0.2,0.2,0.0,0.0,-0.2,-0.3,-0.4,-0.2,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landherr, Luke",Transport Processes 1,01,30116,0.5,0.2,0.2,0.2,0.1,0.4,0.4,0.5,0.3,0.3,0.4,0.6,0.4,0.4,0.2,0.5,0.1,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Su, Ming",Chemical Engr Thermodynamics 1,01,30428,-3.0,-1.8,-1.7,-1.0,-0.6,-0.5,-0.3,-0.6,-0.4,-0.6,-0.4,-0.4,-0.7,-0.8,-0.2,-0.8,-0.4,-0.3,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koppes, Ryan",Chemical Engineering Lab,01,39381,0.1,0.9,1.0,0.0,-0.2,-0.3,-0.2,-0.5,-0.4,-0.4,0.0,0.3,0.2,-0.1,-0.4,-0.2,0.0,-0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dennis, Allison",Chemical Engineering Lab,02,39382,-0.3,0.1,0.0,0.1,-0.1,-0.2,0.0,0.0,-0.4,-0.3,-0.4,-0.2,-0.2,-0.2,-0.3,-0.2,0.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koppes, Ryan",Chemical Engineering Lab,04,39384,0.1,-0.1,-0.4,0.4,-0.1,-0.2,-0.4,-0.5,-0.8,-0.3,-0.2,0.0,0.0,-0.5,-0.3,0.0,0.0,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Satvat, Behrooz",Transport Processes 2,01,30975,-0.3,0.7,0.4,0.3,-0.2,-0.1,-0.4,0.3,0.1,0.1,0.4,0.4,0.0,0.1,0.2,0.5,0.1,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrier, Rebecca",Chemical Engr Thermodynamics 2,01,31411,-0.1,-0.2,0.0,0.2,0.2,0.1,0.3,0.0,0.2,0.2,0.2,0.1,0.4,0.3,0.2,0.1,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhao, Qing",Chemical Engr Thermodynamics 2,02,32403,0.0,-0.3,-0.2,-0.2,0.4,0.0,0.4,0.2,0.0,0.3,0.2,0.4,0.4,0.7,0.4,0.3,0.1,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daramola, Damilola",Chemical Engineering Kinetics,01,30040,-0.4,-0.6,-0.5,-0.6,-0.7,-0.5,-0.6,-0.4,0.3,-0.3,-0.3,-0.4,-0.4,-0.6,-0.5,-0.2,-0.2,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West, Richard",Chemical Engineering Kinetics,01,30040,-0.4,-0.6,-0.5,-0.6,-0.7,-0.5,-0.6,-0.4,0.3,-0.3,-0.7,-1.2,-1.2,-1.1,-0.9,-0.2,-0.5,-0.2,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Satvat, Behrooz",Chemical Engineering Kinetics,02,36828,-0.2,0.0,0.1,0.1,0.5,0.6,0.4,0.1,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.3,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landherr, Luke",Chemical Engr Process Control,01,30425,0.3,0.2,0.0,0.1,0.2,0.2,0.4,0.3,0.1,0.2,0.3,0.5,0.4,0.3,0.4,0.4,0.1,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekenseair, Adam",Separations  Process Analysis,01,32577,0.6,0.4,0.4,0.3,0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.4,0.5,0.7,0.1,0.4,0.2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pfluger, Courtney",Chem Process Design Capstone,01,30423,0.0,0.6,0.3,-0.1,0.4,0.1,0.0,0.5,-0.1,-0.1,0.0,-0.1,0.0,0.2,0.2,0.4,0.2,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pfluger, Courtney",Chem Process Design Capstone,02,32903,-0.6,0.0,0.2,0.1,-0.2,0.0,-0.5,0.4,0.1,0.0,-0.1,-0.2,0.0,0.3,0.3,0.2,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pfluger, Courtney",Chem Process Design Capstone,03,33154,0.0,0.2,0.2,-0.3,-0.1,-0.1,-0.6,0.0,0.0,0.0,0.0,-0.1,0.0,0.5,0.3,0.3,0.1,0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Su, Ming",Materials Charactzn Techniques,01,34989,0.1,0.3,0.3,0.1,-0.1,0.1,0.1,0.2,-0.2,0.0,0.0,0.1,0.1,0.3,0.1,0.0,-0.2,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hashmi, Sara",Compl Fluids Everyday Material,01,39645,0.1,0.2,0.1,0.1,-0.2,0.2,0.0,0.1,0.0,-0.1,0.0,-0.4,-0.2,0.0,0.1,-0.1,-0.1,0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee-Parsons, Carolyn",Biochemical Engineering,01,33368,0.2,-0.6,-0.2,0.3,0.3,0.0,0.4,-0.2,0.3,0.2,0.1,0.4,0.1,0.0,0.2,0.0,-0.1,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coury, Arthur",Adv Topics in Biomaterials,01,32387,-0.6,-0.6,-0.2,0.0,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,0.0,-0.6,-0.5,0.3,0.2,-0.1,-0.1,0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sayre, Hannah",Photochem Fundamentals  Appl,01,41434,0.0,0.5,0.6,0.3,0.2,0.3,0.4,0.3,0.1,0.1,0.3,0.4,0.3,0.0,0.3,0.1,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekenseair, Adam",Intro Polymer Science,01,39386,0.4,0.2,0.0,0.4,-0.3,0.3,0.4,0.5,0.5,0.3,0.3,0.5,0.3,0.6,0.4,0.4,0.2,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barecka, Magda",Special Topics,01,39387,0.7,0.7,0.7,0.5,0.6,0.5,0.6,0.4,0.4,0.5,0.4,0.6,0.5,0.9,0.3,0.4,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Satvat, Behrooz",Chemical Engineering Kinetics,01,30600,0.0,0.6,0.0,-0.4,0.0,0.1,0.2,-0.1,0.4,0.1,0.3,0.3,0.3,0.5,0.0,0.3,0.0,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lustig, Steven",Transport Phenomena,01,30655,0.3,0.0,0.4,-0.3,0.1,0.0,-0.1,-0.3,0.3,-0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koppes, Abigail",Seminar,01,30654,-0.8,-0.5,-0.4,-0.2,-0.5,-0.7,-0.3,-0.9,-0.9,-0.5,-0.9,-0.2,-0.6,-0.4,-0.4,-0.5,-0.5,-0.7,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woolston, Benjamin",Pharmaceutical Engineering II,01,39658,0.3,0.5,0.4,0.0,0.1,0.3,0.5,0.3,0.1,0.3,0.3,0.5,0.4,0.9,0.6,0.4,0.3,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chiu, Linda",Elementary Chinese 1,01,30071,0.4,0.3,0.3,-0.2,0.1,0.3,0.1,0.5,0.1,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cai, Qinghong",Elementary Chinese 1,02,30990,-0.3,0.3,0.0,0.0,-0.2,0.0,0.3,0.2,-0.2,0.3,0.2,0.1,0.1,0.1,0.3,0.0,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wei, Vanessa",Elementary Chinese 2,01,32908,0.1,0.1,0.0,0.1,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.0,0.2,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wei, Vanessa",Elementary Chinese 2,02,36281,0.3,0.2,0.2,0.1,0.0,0.2,0.2,0.2,-0.4,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dong, Hua",Intermediate Chinese 1,01,31005,0.0,0.0,0.0,0.0,-0.2,-0.1,0.1,-0.1,0.3,0.1,0.0,0.1,-0.1,-0.1,-0.1,-0.1,-0.2,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dong, Hua",Intermediate Chinese 2,01,32552,0.0,-0.1,-0.1,-0.2,0.1,0.1,0.3,0.2,0.5,0.3,0.2,0.0,0.0,0.0,0.0,-0.2,-0.1,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cai, Qinghong",Advanced Chinese 1,01,30016,-0.6,-0.3,-0.5,-0.1,-0.4,-0.2,0.0,-0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dong, Hua",Advanced Chinese 2,01,32952,0.2,-0.2,0.5,0.2,-0.1,0.1,0.1,0.5,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.3,0.2,0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cai, Qinghong",Special Topics in Chinese,02,39639,0.1,0.3,0.3,0.0,0.3,0.3,0.3,0.5,0.5,0.3,-0.1,0.1,0.1,0.1,0.1,0.3,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Varney, Nancy",Materials for the Built Envrmt,01,30090,0.2,0.2,0.1,0.1,-0.1,0.0,0.2,-0.1,0.0,0.4,0.1,0.3,0.4,0.3,0.2,0.1,0.1,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Varney, Nancy",Lab for CIVE 2260,01,30089,-0.2,-0.1,0.0,0.1,0.2,-0.1,0.1,-0.2,0.1,-0.1,-0.4,0.0,-0.2,-0.1,0.0,-0.3,0.0,-0.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Varney, Nancy",Lab for CIVE 2260,02,30088,-0.5,-0.5,-0.4,-0.3,0.1,0.1,-0.1,-0.1,0.0,0.0,-0.5,-0.3,-0.5,-0.2,-0.2,-0.1,-0.2,-0.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Varney, Nancy",Lab for CIVE 2260,03,30093,-0.9,-1.3,-0.7,-0.6,-0.2,-0.1,-0.4,-0.4,-0.4,-0.1,-0.4,-0.2,-0.1,-0.3,-1.0,-0.5,-0.7,-0.9,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Onnis-Hayden, Annalisa",Environmental Measurements,01,38861,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.0,0.0,0.1,0.2,0.1,0.3,-0.1,0.1,0.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
