Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…,The work we did in the laboratory course helped me to perform…,The work we did in the lecture course helped me to perform be…,The undergraduate teaching fellow (undergraduate teaching a…,If this course had teaching assistants that held regular office h…,I was able to follow the pace of the lecture and understood the…,The grading of quizzes and case studies was fair.,I felt comfortable to ask questions. I felt comfortable to voice cr…,The real-life anecdotes and hands-on experience and insights…
"Otero, Ana",Inquiries in Biological Sci,11,35743,0.2,0.7,-0.1,0.1,0.2,0.0,0.3,0.2,-0.3,-0.2,0.2,0.1,0.4,0.5,0.1,0.2,0.1,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copos, Calina",Inquiries in Biological Sci,13,35745,-0.4,-0.2,-0.5,-0.2,0.0,-0.2,0.3,0.2,0.0,0.0,0.1,-0.1,-0.1,-0.3,0.0,-0.1,-0.3,0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ionescu, Andreia",Inquiries in Biological Sci,15,35747,0.4,0.4,0.2,0.2,0.3,0.5,0.6,0.3,0.6,0.5,0.3,0.5,0.3,0.6,0.5,0.3,0.3,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grabiner, Mark",Inquiries in Biological Sci,17,39063,0.2,0.0,-0.2,0.0,0.2,0.2,0.4,0.2,0.0,0.4,0.1,-0.3,0.3,-0.1,0.0,0.0,0.0,-0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grabiner, Mark",Genetics  Molecular Biology,01,30428,0.1,-0.3,-0.4,0.1,0.0,-0.1,0.1,-0.1,-0.2,-0.2,0.1,0.1,0.1,-0.2,0.0,-0.1,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
"Henzy, Jamie",Genetics  Molecular Biology,02,32613,-0.7,-0.7,-0.7,-0.2,-0.3,-0.3,-0.8,-0.4,-0.1,-0.4,-0.6,-0.9,-1.3,-1.2,-0.6,-0.7,-0.7,-0.1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apfeld, Javier",Genetics  Molecular Biology,03,33573,0.4,0.5,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.0,0.1,0.2,-0.2,-0.1,0.1,0.2,0.2,0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henzy, Jamie",Genetics  Molecular Biology,04,38312,-1.6,-1.9,-1.5,-0.7,-0.6,-1.1,-1.1,-0.9,-0.4,-1.0,-1.2,-1.3,-1.5,-1.3,-1.0,-1.1,-0.7,-0.4,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farkas, Johanna",Biology Project Lab,01,32150,0.4,0.7,0.6,0.2,0.4,0.5,0.7,0.4,0.0,0.3,0.4,0.5,0.7,0.7,0.5,0.4,0.3,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farkas, Johanna",Biology Project Lab,02,32151,0.5,0.6,0.4,0.2,0.4,0.5,0.7,0.5,0.3,0.5,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frank, Erica",Biology Project Lab,03,32152,-0.4,0.2,0.0,0.1,0.2,0.2,0.5,0.0,0.1,0.2,0.3,0.4,0.4,0.6,0.4,0.2,0.3,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schlichting, Matthias",Biology Project Lab,04,32153,0.6,0.3,0.2,0.2,0.4,0.4,0.8,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.5,0.5,0.3,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schlichting, Matthias",Biology Project Lab,05,32725,0.1,0.3,0.0,0.0,0.4,0.1,0.4,0.0,0.2,0.4,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweeney, Meredith",Biology Project Lab,06,32726,0.3,-0.1,-0.4,0.0,0.2,-0.2,0.4,-0.1,0.0,0.4,0.3,0.3,0.3,0.3,0.0,-0.1,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mehrmanesh, Lindsay",Biology Project Lab,08,32864,0.2,0.2,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.2,0.3,0.4,0.3,0.3,0.1,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweeney, Meredith",Biology Project Lab,09,33134,0.4,0.6,0.4,0.1,0.4,0.4,0.7,0.0,0.1,0.5,0.3,0.4,0.5,0.7,-0.1,0.3,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schlichting, Matthias",Biology Project Lab,10,33977,0.4,0.9,0.9,0.3,0.5,0.6,0.8,0.7,0.5,0.5,0.4,0.6,0.7,0.8,0.5,0.5,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mehrmanesh, Lindsay",Biology Project Lab,11,35748,0.3,0.3,0.1,-0.2,0.2,0.3,0.5,-0.3,-0.2,0.0,0.3,0.5,0.5,0.6,0.2,0.3,0.2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Libro, Silvia",Biology Project Lab,12,35749,0.3,0.5,0.2,-0.4,0.4,0.2,0.6,0.2,0.2,0.5,0.3,0.4,0.5,0.7,0.4,0.4,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frank, Erica",Biology Project Lab,13,35750,0.2,0.4,0.0,0.1,0.1,0.3,0.6,-0.1,-0.1,0.4,0.2,0.3,0.3,0.7,0.4,0.0,0.2,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Begley, Gail",Bioethics,01,38313,0.3,0.3,0.4,0.2,0.1,0.3,0.0,0.4,0.0,-0.1,-0.2,-0.1,0.3,0.4,0.1,0.1,0.2,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ricci, Lesley",Neurobiology,01,30902,0.1,-0.2,-0.1,0.0,0.1,-0.1,0.2,0.1,-0.3,0.0,0.0,-0.1,-0.2,-0.2,0.3,-0.1,-0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Day, Tovah",Current Topics: Cell Molec Bio,03,38314,0.6,0.8,0.6,0.3,0.5,0.7,0.8,0.9,0.7,0.6,0.4,0.6,0.7,0.7,0.6,0.5,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roth, Aaron",Current Topics: Org/Popl Bio,01,38315,0.2,0.3,0.0,0.1,-0.1,0.1,0.7,0.5,-0.1,0.5,0.3,0.2,0.6,0.2,0.3,0.1,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ricci, Lesley",Current Topics in Beh Neurosci,01,34325,0.1,0.3,0.2,0.2,0.2,0.2,-0.1,0.4,0.4,0.1,0.0,0.2,0.4,0.5,0.4,0.1,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ray, Diviya",Microbiology,01,33574,0.3,0.4,0.3,0.1,0.2,0.2,0.1,0.3,0.2,0.1,0.2,0.3,0.2,0.4,0.2,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chai, Yunrong",Microbiology,02,34326,0.2,0.0,-0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.2,0.0,0.1,0.2,0.1,0.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zupanc, Gunther",Neural Systems and Behavior,01,38316,-0.1,-0.6,-0.6,0.0,0.1,0.1,0.2,-0.3,0.3,0.1,0.2,0.3,0.1,0.0,0.1,-0.3,0.1,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sosnik, Julian",Biochemistry,03,34328,0.1,-0.4,-0.5,-0.1,0.0,0.0,-0.3,0.0,0.1,0.0,-0.1,-0.3,-0.4,-0.3,-0.2,0.2,-0.1,-0.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Godoy-Carter, Veronica",Biochemistry,04,38317,-0.8,-0.5,-0.3,-0.1,-0.7,-0.6,-1.1,-0.5,0.1,-0.7,-0.7,-1.2,-1.2,-0.7,-0.3,-0.3,-0.1,-0.1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cassano, Jennifer",Biochemistry,30,39119,0.6,0.9,-4.1,0.3,0.5,0.7,-0.2,-1.1,0.7,-0.4,0.4,0.6,0.7,-0.2,0.6,0.5,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cassano, Jennifer",Lab for BIOL 3611,30,39120,0.6,0.9,-4.1,0.3,0.5,0.7,0.8,-0.1,-0.3,0.6,0.4,0.6,0.7,0.8,0.6,0.5,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Untersee, Steven",Biology Capstone,02,32720,-0.4,-0.3,0.2,-0.1,0.1,-0.1,-0.2,-0.3,0.1,-0.6,0.0,0.0,-0.1,0.4,-0.4,0.1,-0.2,-0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Untersee, Steven",Biology Capstone,03,32721,0.0,0.1,0.1,0.1,0.4,0.1,-0.6,-0.1,-0.4,-0.6,0.3,-0.4,0.4,0.5,0.4,0.4,0.2,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Begley, Gail",Biology Capstone,05,32722,-0.1,0.4,0.2,0.0,0.5,0.3,-0.3,0.6,0.1,-0.3,0.3,-0.7,0.0,0.2,-0.3,0.4,0.3,0.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Untersee, Steven",Biology Capstone,07,32968,-0.3,0.4,0.1,0.0,0.4,0.5,-0.3,0.0,0.2,-0.4,-0.1,0.0,0.2,0.4,0.2,0.4,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roth, Aaron",Biology Capstone,08,33882,-0.4,-0.7,-0.3,0.1,0.3,0.2,-0.4,0.1,-0.1,-0.2,-0.4,-0.2,-0.5,-0.2,-0.1,0.3,0.4,-0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sosnik, Julian",Biology Capstone,09,33923,-0.2,-0.1,0.6,0.1,0.1,0.1,-0.4,0.3,0.1,0.0,0.0,-0.2,0.3,0.2,0.2,0.5,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woods, Dori",Biology Capstone,11,37399,-0.1,-0.1,-0.1,0.0,0.0,-0.1,0.2,0.4,0.2,0.0,0.0,0.2,0.3,-0.4,0.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chai, Yunrong",Biology Capstone,12,37606,-0.4,-1.1,-1.5,-0.1,-0.2,-0.2,-1.1,-0.2,-0.3,-0.6,-0.4,-0.7,-0.5,-0.6,0.0,0.0,-0.3,-0.5,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roth, Aaron",Biology Capstone,13,39649,0.2,-0.7,0.3,0.3,0.4,0.2,-0.4,0.4,0.0,-0.1,-0.5,0.1,0.2,0.4,0.4,0.3,0.2,-0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McElligott, Melissa",Biology Capstone,14,39650,0.4,0.7,0.7,0.1,0.3,0.3,-0.4,0.5,0.1,0.2,0.2,0.4,0.5,0.4,0.4,0.1,0.2,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woods, Dori",Biology Capstone,15,39837,-0.6,-0.1,-0.1,0.3,-0.2,-0.3,-0.7,0.9,0.5,0.6,-1.1,-0.4,-0.5,0.1,-0.1,-0.2,-0.3,-0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McElligott, Melissa",Biology Capstone,31,40513,0.6,0.9,0.9,0.3,0.5,0.7,0.3,0.9,0.5,0.6,0.4,0.6,0.7,0.6,0.6,0.5,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O'Malley, Donald",Neurobio of Cognitive Decline,01,34331,-1.4,-0.1,-0.6,0.0,-0.5,-0.3,-1.4,-0.8,-0.3,-1.1,-0.3,-1.4,-2.0,-0.4,0.1,0.3,-0.1,0.2,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ray, Diviya",Cell and Molecular Biology,01,32727,0.4,0.5,0.4,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.5,0.3,0.6,0.3,0.3,0.4,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smith, Wendy",Cell and Molecular Biology,02,36369,0.6,0.7,0.7,0.3,0.4,0.4,0.6,0.8,0.6,0.6,0.4,0.5,0.5,0.7,0.5,0.5,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frank, Erica",Cell and Molecular Biology,03,40055,0.4,0.4,0.1,0.1,0.2,0.1,0.2,0.4,0.0,0.0,0.1,0.3,0.4,0.6,0.3,0.1,0.1,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monaghan, James",Stem Cells and Regeneration,01,38318,0.1,0.5,0.5,0.1,0.2,0.4,0.7,0.6,0.4,0.5,0.3,0.5,0.5,0.1,0.4,0.3,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soukos, Nikolaos",Medical Microbiology,01,40166,-0.2,0.1,-0.1,0.2,0.1,-0.3,0.3,-0.1,0.1,0.3,0.3,0.1,0.1,0.0,0.1,0.0,-0.2,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O'Malley, Donald",Biological Imaging,01,35755,-0.1,0.6,0.2,0.0,0.3,0.5,0.6,0.2,0.2,0.4,0.2,0.1,0.2,0.6,0.6,0.3,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geisinger, Edward",Immunology,01,38320,0.1,0.0,-0.2,0.1,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.1,0.4,0.0,0.2,-0.1,0.1,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ayers, Joseph",Comparative Neurobiology,01,31965,-1.2,-0.1,-0.3,-0.1,-0.5,-0.1,0.6,0.1,0.5,-0.2,0.0,-0.2,-0.7,-0.6,0.2,0.3,-0.2,0.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khrapko, Konstantin",Advanced Genomics,01,32488,-1.0,-1.1,-1.2,-0.1,-0.6,-0.6,-0.4,-0.7,0.3,-0.1,-0.2,-0.8,-1.4,-2.0,-1.9,-0.4,-0.3,0.1,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henzy, Jamie",Advanced Genomics,02,37505,0.3,0.2,-0.1,-0.2,-0.3,0.2,0.3,0.4,0.1,-0.2,0.1,0.3,0.5,0.3,0.0,0.0,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sitkovsky, Michail",Immunotherapies,01,32724,0.1,0.2,0.3,0.1,0.2,0.4,0.2,0.6,0.2,0.1,0.1,-0.1,0.1,-0.2,0.1,-0.3,-0.1,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sternad, Dagmar",Multidisc Apprch Motor Control,01,38321,-0.6,-0.1,-0.2,-0.2,-0.4,0.0,0.3,-0.1,0.4,0.1,0.0,-0.8,0.0,-1.2,-0.8,-0.2,-0.1,0.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sahni, Neelam",Molec Cell Biology for Biotech,01,31759,0.3,0.6,0.6,0.0,0.2,0.3,0.4,0.5,0.1,0.2,0.2,0.3,0.5,0.6,0.4,0.3,0.2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jehi, Sanaa",Molec Cell Biology for Biotech,02,31760,-0.1,-0.8,-0.6,-0.6,-0.5,0.0,-0.6,0.0,0.2,0.1,-1.0,-0.6,-0.5,-0.8,-0.6,-0.9,-0.8,-1.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Radovic, Anna",Molec Cell Biology for Biotech,03,32917,-0.4,0.2,0.2,-0.3,0.1,-0.2,0.4,0.7,0.3,0.0,0.2,0.1,0.3,0.6,0.5,0.4,0.4,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madupu, Padmadhar",Molec Cell Biology for Biotech,04,35758,0.2,0.3,0.4,0.0,0.1,0.2,0.1,0.4,0.2,0.1,-0.1,0.1,0.3,0.4,0.2,-0.1,-0.1,-0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sahni, Neelam",Molec Cell Biology for Biotech,05,35759,0.2,0.5,0.4,-0.2,0.1,0.2,0.3,0.7,0.1,0.2,0.1,0.3,0.3,0.6,0.2,0.1,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karwal, Preeti",Molec Cell Biology for Biotech,08,38776,-0.8,-0.8,-0.5,-0.6,-0.7,-0.5,-0.6,-0.1,-0.2,-0.5,-0.3,-0.8,-0.7,-0.8,-0.5,-0.9,-0.4,-0.5,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhanot, Haymanti",Molec Cell Biology for Biotech,09,39845,0.0,0.2,-0.1,-0.2,-0.4,0.0,-0.4,0.1,0.0,-0.1,-0.4,-0.3,0.0,0.1,0.1,-0.1,-0.1,-0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dabbous, Fatma",Molec Cell Biology for Biotech,10,40164,-0.7,-0.4,-0.5,-0.6,-0.9,-0.4,-0.8,-0.6,-1.1,-0.6,-0.8,-0.7,-0.7,-0.3,-0.1,-0.3,-0.5,-0.6,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Briggs, Christine",Ethics in Biological Research,01,30779,-1.0,-1.4,-1.3,-0.5,-0.8,-0.4,-1.3,-0.5,-1.0,-1.1,-1.6,-1.3,-1.2,-1.1,-0.7,-1.4,-0.9,-1.2,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilczek, Michael",Ethics in Biological Research,02,38766,0.6,0.9,0.6,0.3,0.5,0.0,0.1,0.6,-0.6,-0.1,0.1,0.3,0.7,0.8,0.6,0.5,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilczek, Michael",Ethics in Biological Research,03,39215,0.5,0.8,0.5,0.3,0.5,0.7,0.6,0.7,0.4,0.4,0.4,0.5,0.7,0.8,0.6,0.2,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Donato, Veronica",Foundations in Biotechnology,01,33242,-0.9,-0.1,-0.6,0.4,-1.4,-1.3,-0.7,-1.2,0.4,-0.3,0.1,0.1,-1.3,-1.3,0.1,0.2,0.0,0.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabed, Diaa",Foundations in Biotechnology,02,33753,0.0,0.3,0.3,-0.2,-0.1,-0.2,-0.3,-0.1,-0.1,0.1,0.0,-0.1,-0.1,-0.1,-0.3,0.2,-0.1,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broadbelt, Kevin",Foundations in Biotechnology,03,35843,-1.2,-2.2,-1.3,-0.4,-1.3,-1.7,-1.3,-0.8,-0.2,-0.2,-1.8,-1.6,-1.7,-2.0,-1.1,-1.6,-0.8,-1.9,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milane, Lara",Foundations in Biotechnology,04,35844,-1.0,-0.4,-0.4,-0.2,-0.3,-0.2,0.1,-0.1,-0.5,-0.5,0.1,-0.2,0.0,-0.6,-0.1,-0.4,-0.2,0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilczek, Michael",Foundations in Biotechnology,05,36306,-0.1,0.6,0.6,0.4,0.3,-0.3,0.1,0.5,0.6,0.4,0.3,-0.4,0.4,0.7,0.6,0.7,0.5,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karwal, Preeti",Foundations in Biotechnology,07,38637,0.2,0.4,0.3,0.2,0.1,0.0,0.5,0.4,0.1,0.2,0.5,0.4,0.4,0.3,0.1,0.3,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milane, Lara",Basic Biotechnology Lab Skills,01,33241,-1.6,-2.1,-2.1,-0.6,-1.4,-1.0,-0.2,-0.9,-1.1,-1.0,-0.6,-0.6,-0.8,-1.5,-1.6,-2.0,-1.0,-1.0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McKinnon, Crystal",Basic Biotechnology Lab Skills,02,34480,0.2,0.3,0.3,0.0,0.2,0.1,0.6,0.4,-0.9,0.1,0.6,0.4,0.5,0.5,-0.2,0.1,0.1,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milane, Lara",Basic Biotechnology Lab Skills,03,35845,-1.4,-1.1,-1.1,-1.6,-0.4,-0.3,-0.7,-1.2,-1.6,-0.3,-0.9,-2.4,-2.3,-2.3,-0.9,-2.3,-2.0,-1.5,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broadbelt, Kevin",Basic Biotechnology Lab Skills,07,38639,-0.1,-0.2,0.0,-0.5,-0.1,-0.2,-0.1,0.0,0.2,-0.1,-0.4,-0.4,-0.2,-0.2,-0.1,-0.3,-0.4,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broadbelt, Kevin",Basic Biotechnology Lab Skills,08,38640,0.2,0.2,0.3,-0.1,0.0,0.2,-0.1,0.1,-0.2,0.0,0.2,0.2,0.5,0.3,0.2,0.2,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dhimo, Christa",The Biotechnology Enterprise,01,33244,0.6,0.6,0.5,0.3,0.5,0.4,0.7,0.6,0.4,0.5,0.6,0.4,0.7,0.5,0.5,0.6,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frey, Elizabeth",The Biotechnology Enterprise,02,33245,0.4,-0.1,0.2,0.2,0.4,0.3,-0.8,0.0,0.0,-0.1,-0.2,-0.6,0.0,0.1,-0.2,0.1,0.0,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schultz, Robert",The Biotechnology Enterprise,03,34481,0.6,-0.1,0.6,0.4,0.4,0.5,-0.5,0.3,-0.2,0.5,0.1,0.1,0.5,0.2,0.5,0.2,0.4,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rubenstein, Madelyn",The Biotechnology Enterprise,04,34907,0.5,0.6,0.6,0.2,0.3,0.4,0.5,0.5,0.3,0.5,0.4,0.4,0.6,0.5,0.3,0.5,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacob, Odeal",The Biotechnology Enterprise,06,38641,0.4,0.5,0.6,0.1,0.3,0.4,0.4,0.2,-0.1,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shek, Yuen Lai",The Biotechnology Enterprise,09,39093,0.4,0.6,0.7,0.0,0.4,0.4,0.6,0.5,0.4,0.5,0.3,0.3,0.4,0.5,0.4,0.5,0.3,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shek, Yuen Lai",The Biotechnology Enterprise,10,40030,0.4,0.1,0.6,0.1,0.4,0.4,0.1,0.4,0.2,0.4,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dhimo, Christa",Managing  Leading Biotech Com,01,32700,0.4,0.7,0.7,0.4,0.5,0.7,0.7,0.5,0.2,0.6,0.6,0.5,0.7,0.7,0.4,0.6,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graffeo, Anthony",Managing  Leading Biotech Com,02,32701,-1.6,-1.9,-1.1,-0.3,-1.7,-1.3,-1.5,-0.4,-0.4,-0.6,-1.6,-1.5,-1.6,-1.8,-1.6,-1.9,-1.1,-1.2,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dhimo, Christa",Launching Your Science,01,32702,0.4,0.7,0.6,0.2,0.4,0.2,0.1,0.2,0.4,0.2,0.0,0.0,0.4,0.5,0.2,0.5,0.3,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
